RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,age,CIT,CITWP05,CITWP12,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP05,MARHYP12,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP05,YOEP12,ANC,ANC1P05,ANC1P12,ANC2P05,ANC2P12,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP05,LANP12,MIGPUMA00,MIGPUMA10,MIGSP05,MIGSP12,MSP,NAICSP,NATIVITY,NOP,OC,OCCP10,OCCP12,PAOC,PERNP,PINCP,POBP05,POBP12,POVPIP,POWPUMA00,POWPUMA10,POWSP05,POWSP12,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P05,RAC2P12,RAC3P05,RAC3P12,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP10,SOCP12,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,FDISP,FPERNP,FPINCP,FPRIVCOVP,FPUBCOVP,nochildren,lnfaminc,widowed,divorced,separated,nevermarried,male,female,agesq,ltHS,BA,BAplus,black,hisp,hourly,coveligd
P,2011000000133,1,600,-9,25,1073094,15,49,1,,,1.0,2.0,2,2,2.0,2.0,,,2.0,,,2.0,,,1,2,2,2,2,2,2,40.0,60.0,,5.0,2.0,5,,,,,,,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0,0.0,1.0,,19.0,0.0,1,0.0,0.0,90000.0,50.0,1.0,1.0,1.0,,,2,902,-9,917,-9,,2,,,1.0,,,1,1,7380.0,100.0,49.0,,,,,,,6.0,5415,1,,0,110.0,N.A.,,90000.0,90040.0,25,-9,501.0,3300.0,-9.0,25.0,-9.0,1,2,3,2,2,-9,44,-9,0,0,1,0,1,0,0,0,,,,,113021,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,5,12,8,11,18,14,23,11,22,12,19,26,19,4,23,28,6,29,11,20,33,12,23,14,15,14,3,14,3,19,21,6,15,29,3,6,36,5,13,23,5,12,4,15,12,16,29,13,20,14,16,44,17,3,23,20,4,38,11,18,31,16,24,15,18,15,6,13,4,16,16,5,14,25,4,9,31,3,0,0,1,0,0,0,,0,0,0,1,1,0,2401,0,0,0,1,0,0,1
P,2011000000205,1,100,-9,25,1073094,13,36,1,,,1.0,2.0,2,2,2.0,2.0,,,2.0,,,2.0,,,1,2,2,2,2,2,2,0.0,3.0,2.0,1.0,2.0,1,2.0,2.0,1.0,2.0,2000.0,-9.0,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0,0.0,1.0,,16.0,0.0,1,0.0,0.0,48000.0,40.0,1.0,1.0,1.0,,,1,32,-9,999,-9,,2,2.0,,1.0,,,1,1,8770.0,94.0,55.0,,,,,,,1.0,8111Z,1,,0,7200.0,N.A.,,48000.0,48000.0,25,-9,501.0,100.0,-9.0,25.0,-9.0,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,493023,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,4,10,21,5,5,9,12,23,13,13,12,13,21,14,15,4,4,18,12,3,20,17,3,20,20,15,12,3,12,12,14,12,5,12,13,25,22,4,12,18,3,15,22,4,3,15,11,25,14,15,12,12,22,12,11,5,4,21,13,3,25,14,5,19,24,11,13,4,13,14,14,13,4,12,12,20,28,3,14,0,1,1,0,0,0,11.6351430977,0,0,0,0,1,0,1296,0,0,0,0,0,0,0
P,2011000000205,2,100,-9,25,1073094,12,35,1,,,1.0,2.0,2,2,2.0,2.0,,,2.0,,2.0,2.0,,,1,2,2,2,2,2,2,0.0,20.0,1.0,1.0,2.0,1,2.0,2.0,1.0,2.0,2000.0,-9.0,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,1,0.0,1.0,,21.0,0.0,2,0.0,0.0,65000.0,40.0,1.0,1.0,1.0,,,1,32,-9,999,-9,,2,1.0,,1.0,6203.0,,1,1,6870.0,90.0,47.0,,,,,,,1.0,52M1,1,,0,800.0,N.A.,3.0,65000.0,65000.0,25,-9,501.0,100.0,-9.0,25.0,-9.0,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,2.0,2.0,,,132011,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,4,10,19,4,4,11,10,18,12,12,12,11,20,14,13,4,4,19,12,4,18,12,5,21,20,14,13,4,12,12,12,14,5,11,12,19,20,4,10,19,4,18,22,4,2,12,12,24,15,11,12,14,20,10,11,4,3,23,11,4,24,15,4,21,22,11,13,4,12,11,11,12,4,13,12,19,20,3,14,0,1,1,0,0,0,11.6351430977,0,0,0,0,0,1,1225,0,1,1,0,0,1,1
P,2011000000294,1,1100,-9,25,1073094,17,30,1,,,1.0,2.0,2,2,2.0,2.0,,,2.0,,2.0,2.0,,,1,1,2,2,2,2,2,0.0,60.0,1.0,1.0,2.0,5,,,,,,,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0,0.0,1.0,,20.0,0.0,2,0.0,0.0,85000.0,40.0,1.0,1.0,1.0,,,2,22,-9,50,-9,,2,1.0,,1.0,,,1,1,7980.0,94.0,43.0,,,,,,,6.0,6212,1,,0,3310.0,N.A.,4.0,85000.0,85000.0,25,-9,501.0,3300.0,-9.0,25.0,-9.0,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,292021,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,18,16,32,17,24,5,31,5,5,16,20,32,26,4,20,15,14,26,20,5,4,4,17,27,5,20,16,18,20,32,37,20,19,16,29,5,5,18,32,18,19,15,5,17,17,28,5,27,33,16,23,8,6,26,15,15,13,6,17,29,25,26,19,5,33,19,17,21,19,5,5,14,13,16,7,25,25,0,0,0,0,0,0,,0,0,0,1,0,1,900,0,0,0,0,0,0,0
P,2011000000294,2,1100,-9,25,1073094,20,38,1,,,1.0,2.0,2,2,2.0,2.0,,,2.0,,,2.0,,,1,2,2,2,2,2,2,0.0,30.0,1.0,1.0,2.0,5,,,,,,,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,4800.0,0.0,13,0.0,1.0,,19.0,0.0,1,0.0,0.0,20000.0,40.0,1.0,3.0,1.0,,,2,51,-9,84,-9,,2,1.0,,1.0,,,1,1,6970.0,85.0,40.0,,,,,,,6.0,52M2,1,,0,4820.0,N.A.,,20000.0,24800.0,25,-9,214.0,3300.0,-9.0,25.0,-9.0,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,413031,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,20,18,18,25,19,24,5,34,5,6,23,21,35,30,5,22,18,17,32,25,7,6,5,18,31,5,22,19,19,20,33,38,22,22,20,34,6,5,21,36,18,20,18,6,19,19,36,6,32,35,16,21,6,5,33,17,20,18,7,19,33,37,29,19,7,39,22,18,19,20,6,5,16,18,19,6,32,30,0,0,0,0,0,0,,0,0,0,1,1,0,1444,0,0,0,0,0,1,1
P,2011000000563,1,900,-9,25,1073094,19,49,1,,,1.0,2.0,2,2,2.0,2.0,,,2.0,,,2.0,,,1,2,2,2,2,2,2,2000.0,50.0,1.0,1.0,2.0,1,2.0,2.0,1.0,2.0,1991.0,-9.0,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0,0.0,1.0,,21.0,0.0,1,0.0,0.0,90000.0,50.0,1.0,1.0,1.0,,,1,190,-9,999,-9,,2,1.0,,1.0,5506.0,,1,1,2490.0,98.0,49.0,,,,,,,1.0,3272,1,,0,4850.0,N.A.,,90000.0,92000.0,26,-9,501.0,1100.0,-9.0,25.0,-9.0,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,1.0,2.0,,,414010,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,6,16,20,22,32,6,18,16,31,23,32,41,7,5,17,19,18,6,18,31,4,17,19,23,32,5,19,17,40,21,29,26,5,5,18,18,17,40,19,5,28,18,16,26,6,34,17,18,5,18,6,6,29,38,17,22,21,27,17,6,29,21,20,15,4,30,22,17,5,18,5,6,25,34,22,18,24,5,0,0,0,0,0,0,12.1172414318,0,0,0,0,1,0,2401,0,1,1,0,0,1,1
P,2011000000563,2,900,-9,25,1073094,20,49,1,,,2.0,2.0,2,2,2.0,2.0,,,2.0,,2.0,2.0,,,1,2,2,2,2,2,2,1000.0,144.0,1.0,1.0,2.0,1,2.0,2.0,1.0,2.0,1991.0,-9.0,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,1,0.0,1.0,,20.0,0.0,2,0.0,0.0,90000.0,50.0,1.0,1.0,1.0,,,2,22,-9,50,-9,,2,1.0,,1.0,,,1,1,7870.0,90.0,31.0,,,,,,,1.0,611M1,1,,0,110.0,N.A.,2.0,90000.0,91000.0,25,-9,501.0,3300.0,-9.0,25.0,-9.0,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,113021,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,6,18,22,21,34,6,16,19,38,24,35,36,6,6,19,17,20,8,21,37,6,19,17,20,33,5,21,24,35,21,31,32,5,6,22,21,20,38,21,5,34,20,22,20,6,38,20,18,6,23,6,6,38,39,21,20,22,36,21,6,31,21,16,21,6,33,16,21,6,17,7,5,30,32,18,20,17,6,0,0,0,0,0,0,12.1172414318,0,0,0,0,0,1,2401,0,0,0,0,0,1,1
P,2011000000593,1,1500,-9,25,1073094,17,34,4,2006.0,-9.0,2.0,2.0,2,2,2.0,2.0,,,2.0,,2.0,2.0,,,1,2,2,2,2,2,2,0.0,15.0,1.0,1.0,2.0,5,,,,,,,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0,0.0,1.0,,22.0,0.0,2,0.0,0.0,35000.0,40.0,1.0,1.0,1.0,1998.0,-9.0,1,308,-9,999,-9,6.0,2,1.0,,1.0,6206.0,,1,1,8290.0,271.0,146.0,,,,,,,6.0,623M,2,,0,4640.0,N.A.,4.0,35000.0,35000.0,333,-9,294.0,400.0,-9.0,25.0,-9.0,1,2,1,2,2,-9,44,-9,0,0,1,0,1,0,0,0,2.0,2.0,,,399041,N.A.//,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,4,36,17,11,4,18,5,23,16,44,12,10,45,32,31,18,25,9,23,3,20,8,6,25,19,21,20,20,14,21,25,3,10,18,39,28,27,19,7,20,19,28,21,15,49,21,27,9,11,6,8,21,23,8,17,26,25,17,13,18,9,49,45,5,17,4,12,13,4,23,5,44,32,26,29,21,7,7,0,0,0,0,0,1,10.6851033811,0,0,0,1,0,1,1156,0,0,1,1,0,0,0
P,2011000000618,1,2200,-9,25,1073094,12,37,1,,,1.0,2.0,2,2,2.0,2.0,,,2.0,,,2.0,,,1,2,2,2,2,2,2,0.0,20.0,1.0,1.0,2.0,1,2.0,2.0,1.0,2.0,1994.0,-9.0,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0,0.0,1.0,,18.0,0.0,1,0.0,0.0,100000.0,40.0,1.0,1.0,1.0,,,1,195,-9,999,-9,,2,1.0,,1.0,,,1,1,3980.0,86.0,43.0,,,,,,,1.0,3399ZM,1,,0,1010.0,N.A.,,100000.0,100000.0,25,-9,359.0,2300.0,-9.0,25.0,-9.0,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,151131,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,9,4,11,17,13,4,3,11,12,4,20,11,19,21,12,20,4,11,11,11,11,3,9,22,13,4,3,13,13,3,20,10,22,22,11,23,3,12,13,11,10,2,13,21,12,3,3,10,12,3,20,12,22,18,10,21,3,14,11,11,10,4,12,17,11,3,4,11,11,4,23,11,21,17,11,20,4,10,0,0,0,0,0,0,11.5852461265,0,0,0,0,1,0,1369,0,0,0,0,0,0,1
P,2011000000618,2,2200,-9,25,1073094,10,37,1,,,3.0,2.0,2,2,2.0,2.0,,,2.0,,2.0,2.0,,,1,2,2,2,2,2,2,0.0,15.0,1.0,1.0,2.0,1,2.0,2.0,1.0,2.0,1994.0,-9.0,1.0,4.0,,,,,,,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,1,0.0,1.0,,21.0,0.0,2,0.0,0.0,7500.0,15.0,1.0,4.0,1.0,,,1,195,-9,999,-9,,2,1.0,,1.0,5004.0,,1,1,7860.0,94.0,52.0,,,,,,,1.0,6111,1,,0,5320.0,N.A.,2.0,7500.0,7500.0,25,-9,359.0,2200.0,-9.0,25.0,-9.0,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,0,1.0,2.0,,,434121,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,4,11,16,13,3,3,10,10,3,17,11,21,18,10,21,3,10,10,11,9,3,10,23,13,3,4,11,12,3,19,9,20,17,11,21,3,14,13,11,9,3,11,19,11,3,2,9,13,3,18,10,21,18,9,19,3,13,11,9,9,3,10,16,11,4,4,12,11,4,19,10,19,17,11,19,3,11,0,0,0,0,0,0,11.5852461265,0,0,0,0,0,1,1369,0,1,1,0,0,1,1
