SERIALNO,PWGTP,ST,hourly,employed,empgov_fed,empgov_st,empgov_loc,wkhours,wks,wage12,age,agesq,male,nochildren,ndep_kid,ndep_old,ltHS,someHS,HSgrad,someCol,BA,GradSch,noHSdegree,BAplus,faminc,lnfaminc,married,partner,separated,divorced,widowed,nevermarried,native,asian,black,white,other,hisp,ESR,COW
2011000000097,14,25,0,0.0,0.0,0.0,0.0,50.0,7.0,13994.390766858576,58,3364,0,0,0.0,1.0,0,0,0,0,0,1,0,1,,,0,0,0,0,0,1,0,0,0,1,0,0,3.0,2.0
2011000000097,22,25,0,0.0,0.0,0.0,0.0,25.0,20.0,14405.990495295593,69,4761,0,0,0.0,1.0,0,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,6.0,1.0
2011000000098,19,25,1,0.0,0.0,0.0,0.0,40.0,7.0,2263.7985064035934,19,361,0,0,,,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,0,0,3.0,1.0
2011000000133,15,25,0,1.0,0.0,0.0,0.0,50.0,51.0,92609.93889832881,49,2401,1,0,0.0,0.0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1.0
2011000000205,13,25,0,1.0,0.0,0.0,0.0,40.0,51.0,49391.967412442034,36,1296,1,0,2.0,0.0,0,0,1,0,0,0,0,0,116276.92328345729,11.66372989477216,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0
2011000000205,12,25,0,1.0,0.0,0.0,0.0,40.0,51.0,66884.95587101525,35,1225,0,0,2.0,0.0,0,0,0,0,1,0,0,1,116276.92328345729,11.66372989477216,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0
2011000000205,11,25,1,,,,,,,,8,64,1,0,2.0,0.0,1,0,0,0,0,0,1,0,116276.92328345729,11.66372989477216,0,0,0,0,0,1,0,0,0,1,0,0,,
2011000000205,14,25,1,,,,,,,,3,9,0,0,2.0,0.0,1,0,0,0,0,0,1,0,116276.92328345729,11.66372989477216,0,0,0,0,0,1,0,0,0,1,0,0,,
2011000000294,17,25,1,1.0,0.0,0.0,0.0,40.0,51.0,87464.94229286611,30,900,0,0,0.0,0.0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,0,0,1.0,1.0
2011000000294,20,25,0,1.0,0.0,0.0,0.0,40.0,43.5,20579.98642185085,38,1444,1,0,0.0,0.0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,0,0,1.0,1.0
2011000000501,28,25,0,0.0,0.0,1.0,0.0,,,0.0,31,961,1,0,,,0,0,0,0,0,1,0,1,,,0,1,0,0,0,0,0,1,0,0,0,0,6.0,4.0
2011000000563,19,25,1,1.0,0.0,0.0,0.0,50.0,51.0,92609.93889832881,49,2401,1,0,2.0,0.0,0,0,0,0,1,0,0,1,188306.87575993527,12.145828228901241,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0
2011000000563,20,25,0,1.0,0.0,0.0,0.0,50.0,51.0,92609.93889832881,49,2401,0,0,2.0,0.0,0,0,0,1,0,0,0,0,188306.87575993527,12.145828228901241,1,0,0,0,0,0,0,0,0,1,0,0,1.0,2.0
2011000000563,18,25,1,,,,,,,,14,196,1,0,2.0,0.0,1,0,0,0,0,0,1,0,188306.87575993527,12.145828228901241,0,0,0,0,0,1,0,0,0,1,0,0,,
2011000000563,17,25,1,,,,,,,,11,121,1,0,2.0,0.0,1,0,0,0,0,0,1,0,188306.87575993527,12.145828228901241,0,0,0,0,0,1,0,0,0,1,0,0,,
2011000000593,17,25,0,1.0,0.0,0.0,0.0,40.0,51.0,36014.97623823898,34,1156,0,1,0.0,0.0,0,0,0,0,0,1,0,1,44967.270331744105,10.713690178161364,0,0,0,0,0,1,0,0,1,0,0,0,1.0,2.0
2011000000593,13,25,0,0.0,0.0,0.0,0.0,,,0.0,55,3025,0,1,0.0,0.0,0,1,0,0,0,0,1,0,44967.270331744105,10.713690178161364,0,0,0,0,0,1,0,0,1,0,0,0,6.0,6.0
2011000000618,12,25,0,1.0,0.0,0.0,0.0,40.0,51.0,102899.93210925424,37,1369,1,0,4.0,0.0,0,0,0,1,0,0,0,0,110617.42701744831,11.613832923627537,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0
