RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,CIT,CITWP05,CITWP12,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP05,MARHYP12,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP05,YOEP12,ANC,ANC1P05,ANC1P12,ANC2P05,ANC2P12,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP05,LANP12,MIGPUMA00,MIGPUMA10,MIGSP05,MIGSP12,MSP,NAICSP,NATIVITY,NOP,OC,OCCP10,OCCP12,PAOC,PERNP,PINCP,POBP05,POBP12,POVPIP,POWPUMA00,POWPUMA10,POWSP05,POWSP12,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P05,RAC2P12,RAC3P05,RAC3P12,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP10,SOCP12,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,FDISP,FPERNP,FPINCP,FPRIVCOVP,FPUBCOVP
P,2011000000097,1,3305,-9,25,1073094,14,58,1,,,2,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,10000,,,,2,5,,,,,,,1,4,,,,,,,,,,2,1,2,1,2,15000,0,0,0,1,,22,6000,2,0,0,13600,50,1,6,2,,,1,50,-9,999,-9,,2,,,3,2300,,1,1,7580,,,,,,,,,6,5613,1,,0,800,N.A.,4,19600,44600,25,-9,389,,,,,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,0,2,2,,,132011,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,3,16,5,22,16,16,14,18,15,4,16,28,23,14,16,23,13,22,16,23,28,12,22,5,14,20,16,4,17,25,15,4,4,13,16,4,16,4,14,4,5,17,5,24,12,15,12,22,16,4,14,24,19,15,13,24,14,20,14,24,26,16,28,5,15,12,12,5,15,27,17,3,4,17,16,4,14,0,0,0,0,0
P,2011000000097,2,3305,-9,25,1073094,22,69,4,2006,-9,1,2,2,2,2,2,,,2,3,,2,,,2,2,1,2,2,2,2,0,,,,1,3,2,2,2,2,1964,-9,1,4,,,,,,,,,,2,5,2,2,3,0,0,12,0,1,,19,0,2,0,4000,14000,25,1,5,2,1991,-9,1,237,-9,999,-9,6,2,,,6,,,1,19,4970,,,625,-9,,,,,4,4451,2,,0,4740,N.A.,4,14000,18000,370,-9,170,,,,,2,1,3,8,66,-9,1,-9,0,0,0,0,1,1,0,0,,,,,412021,N.A.//,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,31,10,5,24,9,29,18,35,42,50,31,7,18,32,33,15,20,32,19,53,37,38,29,23,42,4,17,32,29,7,22,37,24,5,5,22,21,6,18,6,17,6,10,40,6,31,17,20,28,37,26,10,20,32,31,20,23,46,17,43,24,37,62,30,38,7,28,19,19,9,32,59,18,5,4,22,26,7,22,0,1,1,0,0
P,2011000000098,1,1600,-9,25,1073094,19,19,1,,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0,,,,2,5,,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,17,0,2,15,18,0,2,0,0,2200,40,1,6,,,,4,999,-9,999,-9,,2,,,3,,,1,1,8670,,,,,1500,-9,34,-9,6,721M,1,,0,4620,N.A.,,2200,2200,34,-9,,,,,,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,399030,N.A.//,,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,,1,,1,,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,18,19,18,3,18,34,19,34,34,3,18,3,18,18,3,18,2,34,34,19,18,18,19,3,19,34,19,35,35,3,19,3,19,19,3,19,3,34,36,19,19,19,19,36,19,3,19,2,3,34,19,34,19,19,35,20,34,3,3,19,19,18,18,35,19,3,19,3,3,34,19,35,19,19,35,19,35,2,3,19,1,1,1,1,1
P,2011000000133,1,600,-9,25,1073094,15,49,1,,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,40,60,,5,2,5,,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,19,0,1,0,0,90000,50,1,1,1,,,2,902,-9,917,-9,,2,,,1,,,1,1,7380,100,49,,,,,,,6,5415,1,,0,110,N.A.,,90000,90040,25,-9,501,3300,-9,25,-9,1,2,3,2,2,-9,44,-9,0,0,1,0,1,0,0,0,,,,,113021,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,5,12,8,11,18,14,23,11,22,12,19,26,19,4,23,28,6,29,11,20,33,12,23,14,15,14,3,14,3,19,21,6,15,29,3,6,36,5,13,23,5,12,4,15,12,16,29,13,20,14,16,44,17,3,23,20,4,38,11,18,31,16,24,15,18,15,6,13,4,16,16,5,14,25,4,9,31,3,0,0,1,0,0
P,2011000000205,1,100,-9,25,1073094,13,36,1,,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,3,2,1,2,1,2,2,1,2,2000,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,16,0,1,0,0,48000,40,1,1,1,,,1,32,-9,999,-9,,2,2,,1,,,1,1,8770,94,55,,,,,,,1,8111Z,1,,0,7200,N.A.,,48000,48000,25,-9,501,100,-9,25,-9,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,493023,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,4,10,21,5,5,9,12,23,13,13,12,13,21,14,15,4,4,18,12,3,20,17,3,20,20,15,12,3,12,12,14,12,5,12,13,25,22,4,12,18,3,15,22,4,3,15,11,25,14,15,12,12,22,12,11,5,4,21,13,3,25,14,5,19,24,11,13,4,13,14,14,13,4,12,12,20,28,3,14,0,1,1,0,0
P,2011000000205,2,100,-9,25,1073094,12,35,1,,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,20,1,1,2,1,2,2,1,2,2000,-9,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,21,0,2,0,0,65000,40,1,1,1,,,1,32,-9,999,-9,,2,1,,1,6203,,1,1,6870,90,47,,,,,,,1,52M1,1,,0,800,N.A.,3,65000,65000,25,-9,501,100,-9,25,-9,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,2,2,,,132011,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,4,10,19,4,4,11,10,18,12,12,12,11,20,14,13,4,4,19,12,4,18,12,5,21,20,14,13,4,12,12,12,14,5,11,12,19,20,4,10,19,4,18,22,4,2,12,12,24,15,11,12,14,20,10,11,4,3,23,11,4,24,15,4,21,22,11,13,4,12,11,11,12,4,13,12,19,20,3,14,0,1,1,0,0
P,2011000000205,3,100,-9,25,1073094,11,8,1,,,,2,2,2,,2,,,2,,,,,,1,2,2,2,2,2,2,,,,,2,5,,,,,,,1,,,,,,,,,,,,,,,,,,2,,3,5,6,,1,,,,,,,,,,1,32,-9,999,-9,,2,,1,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,25,-9,501,,,,,1,2,3,1,1,-9,69,-9,0,0,0,0,1,0,1,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,12,19,4,4,11,11,17,12,10,10,9,17,13,14,4,3,18,9,3,19,12,3,16,18,12,12,3,12,10,10,11,3,10,12,17,23,4,11,17,4,12,20,3,3,11,9,19,11,12,10,10,18,9,12,4,4,22,11,3,21,15,3,17,16,11,12,3,11,9,10,10,2,12,12,19,18,3,11,0,0,0,0,0
P,2011000000205,4,100,-9,25,1073094,14,3,1,,,,,2,2,,,,,,,,,,,1,2,2,2,2,2,2,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,,1,,2,,,,,,,,,,1,32,-9,999,-9,,2,,1,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,25,-9,501,,,,,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,11,18,6,5,18,16,28,14,11,11,12,24,14,13,7,4,23,17,4,21,15,4,28,19,13,13,3,13,18,15,11,3,12,14,22,21,4,14,12,4,18,22,4,4,11,14,17,16,12,13,14,21,15,13,4,5,16,16,6,36,13,3,19,26,15,13,6,16,13,14,11,5,17,11,22,23,4,10,0,0,0,0,0
P,2011000000294,1,1100,-9,25,1073094,17,30,1,,,1,2,2,2,2,2,,,2,,2,2,,,1,1,2,2,2,2,2,0,60,1,1,2,5,,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,20,0,2,0,0,85000,40,1,1,1,,,2,22,-9,50,-9,,2,1,,1,,,1,1,7980,94,43,,,,,,,6,6212,1,,0,3310,N.A.,4,85000,85000,25,-9,501,3300,-9,25,-9,1,2,4,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,292021,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,18,16,32,17,24,5,31,5,5,16,20,32,26,4,20,15,14,26,20,5,4,4,17,27,5,20,16,18,20,32,37,20,19,16,29,5,5,18,32,18,19,15,5,17,17,28,5,27,33,16,23,8,6,26,15,15,13,6,17,29,25,26,19,5,33,19,17,21,19,5,5,14,13,16,7,25,25,0,0,0,0,0
P,2011000000294,2,1100,-9,25,1073094,20,38,1,,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,30,1,1,2,5,,,,,,,1,4,,,,,,,,,,3,5,3,3,3,4800,0,13,0,1,,19,0,1,0,0,20000,40,1,3,1,,,2,51,-9,84,-9,,2,1,,1,,,1,1,6970,85,40,,,,,,,6,52M2,1,,0,4820,N.A.,,20000,24800,25,-9,214,3300,-9,25,-9,1,2,1,1,1,-9,69,-9,0,0,0,0,1,0,1,0,,,,,413031,N.A.//,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,20,18,18,25,19,24,5,34,5,6,23,21,35,30,5,22,18,17,32,25,7,6,5,18,31,5,22,19,19,20,33,38,22,22,20,34,6,5,21,36,18,20,18,6,19,19,36,6,32,35,16,21,6,5,33,17,20,18,7,19,33,37,29,19,7,39,22,18,19,20,6,5,16,18,19,6,32,30,0,0,0,0,0
