insp,RT,SERIALNO,DIVISION,PUMA00,PUMA10,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BATH,BDSP,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,MHP,MRGI,MRGP,MRGT,MRGX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSINKP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,FFINCP,FGRNTP,FHINCP,FSMOCP
1900,H,2011000000097,1,3305,-9,1,25,1053874,1073094,14,2,1,1,,1,4,2,2,0,50,2,2,200,1,,,,,3,1,9,,,1,9,1,,1,1,2,1,,550000,1,30,1,,,,,,2,7,62600,0,4,4,4,1,1,1,7,0,,0,1,0,17,0,1,0,0,1,1,1,911,,0,1,64,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,4,15,4,22,16,16,14,18,15,5,17,28,23,14,16,23,13,22,16,23,27,12,22,4,14,20,16,3,17,25,16,3,4,12,16,4,17,4,14,4,4,17,5,24,12,14,13,23,16,4,14,24,20,16,13,24,15,20,13,24,25,16,27,5,14,12,12,4,15,27,16,4,3,16,16,5,13,0,,1,0
,H,2011000000098,1,1600,-9,1,25,1053874,1073094,0,1,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
600,H,2011000000133,1,600,-9,1,25,1053874,1073094,16,1,1,2,1,1,3,2,2,0,70,2,900,3,4,,2,1800,1,1,1,5,,,1,9,1,300,1,1,1,1,,325000,1,2,6,,,,,,1,4,90040,0,4,4,4,1,1,1,5,0,,0,0,0,31,0,1,0,0,0,0,2,2295,2,0,1,42,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,4,13,8,12,18,15,23,11,23,13,19,26,19,4,23,28,6,29,11,20,33,13,23,14,15,13,4,13,3,19,20,6,15,29,4,6,36,5,13,22,6,12,5,16,12,15,28,13,20,15,16,44,17,3,24,20,4,38,11,18,31,16,24,14,19,15,5,13,4,16,16,5,14,26,5,10,31,3,0,,1,0
1000,H,2011000000205,1,100,-9,1,25,1053874,1073094,13,4,1,1,,1,3,2,2,0,150,2,2,110,1,,2,800,1,1,1,6,,,1,9,1,,1,1,1,1,,150000,3,600,1,1,113000,3,,,1,1,113000,0,3,3,3,1,1,1,4,2,4,0,0,2,13,0,1,0,1,0,0,1,1193,3,0,1,31,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,10,21,4,4,10,11,23,12,14,11,13,20,14,15,4,5,19,12,4,19,18,4,20,21,15,12,4,12,12,14,12,5,13,13,25,22,5,13,19,3,15,22,5,3,14,10,25,14,16,12,12,22,11,11,5,4,22,14,3,25,14,4,19,24,11,12,4,13,14,14,12,4,12,13,20,28,4,14,1,,1,0
700,H,2011000000294,1,1100,-9,1,25,1053874,1073094,17,2,1,1,,1,3,2,2,0,140,2,2,30,1,,2,1500,2,1,1,7,,,1,9,1,,1,1,1,1,,400000,2,900,8,,,,,,1,7,109800,0,4,4,4,1,1,1,4,0,,0,1,0,24,4,1,0,0,0,0,1,2236,3,0,1,62,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,18,16,32,17,23,5,31,5,6,17,21,33,26,5,20,15,14,27,20,5,4,4,17,27,5,21,16,18,20,32,37,20,19,16,28,5,5,19,31,18,19,15,5,17,17,28,6,26,34,16,23,8,5,26,14,16,13,5,18,29,24,27,19,5,32,19,17,21,20,5,5,14,13,16,6,25,25,0,,0,1
,H,2011000000501,1,3301,-9,1,25,1053874,1073094,0,1,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1300,H,2011000000563,1,900,-9,1,25,1053874,1073094,19,4,1,1,,1,3,2,2,0,110,2,2000,20,1,,2,1400,2,1,1,8,,,1,9,1,,1,1,1,1,,370000,2,500,4,1,183000,2,,,1,1,183000,0,2,2,2,1,1,1,5,2,4,0,0,2,14,0,1,0,1,0,0,1,2180,3,0,1,52,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,7,16,21,22,32,7,18,16,31,23,31,41,7,5,17,20,18,6,18,31,5,17,19,23,33,5,18,16,40,21,29,26,5,6,17,18,16,40,20,5,29,18,17,26,6,35,17,18,5,18,7,5,29,39,18,21,21,26,17,6,28,21,20,15,5,30,22,17,6,17,5,6,26,34,21,19,23,6,0,,0,0
,H,2011000000593,1,1500,-9,1,25,1053874,1073094,18,2,1,,,1,2,7,,,10,2,1,1,1,,,,,,1,4,2,900,1,9,1,,1,1,3,1,,,1,1,1,7,43700,4,910,25,1,3,43700,0,4,4,4,1,1,1,3,0,2,0,0,0,,0,1,0,0,0,0,1,,,1,0,,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,13,4,36,17,11,4,18,5,23,17,44,13,9,45,32,31,17,25,9,23,3,19,8,6,25,19,21,20,20,15,21,25,3,10,18,40,27,27,19,6,20,19,27,21,15,50,21,27,9,10,5,8,21,23,8,17,26,25,17,13,18,8,49,46,4,17,4,12,13,4,22,4,44,32,26,30,22,7,8,0,0,0,
600,H,2011000000618,1,2200,-9,1,25,1053874,1073094,12,6,1,1,,1,5,2,2,0,180,2,3800,3,4,,1,1100,1,1,1,8,,,1,9,1,,1,1,1,1,,300000,2,1800,3,1,107500,2,,,1,1,107500,0,2,2,2,1,1,1,4,4,6,0,0,4,20,0,1,0,1,0,0,1,1747,3,0,1,41,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,11,9,4,11,17,13,4,3,11,11,4,20,12,20,21,12,20,4,10,11,11,11,3,9,22,13,4,3,13,14,3,20,10,22,22,12,23,2,12,14,11,11,3,13,21,12,3,3,9,13,3,20,12,23,19,10,21,4,15,12,11,10,4,12,17,11,3,4,11,11,4,23,11,22,17,10,20,4,10,0,,0,0
1200,H,2011000000670,1,2300,-9,1,25,1053874,1073094,7,5,1,1,,1,3,2,2,0,100,2,2000,130,1,,2,1200,2,1,1,9,,,1,9,1,,1,1,1,1,,220000,2,280,6,1,163500,2,,,1,1,163500,0,2,2,2,1,1,1,6,2,5,0,0,2,15,0,1,0,1,0,0,1,2012,3,0,1,47,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,16,10,7,7,7,11,2,11,7,2,2,2,8,10,2,9,7,8,7,9,13,12,7,8,7,13,2,12,8,2,2,2,5,10,2,8,9,7,8,9,10,12,7,6,7,10,2,12,7,2,2,1,7,11,2,8,7,6,6,6,13,13,8,9,6,15,2,13,7,2,1,2,7,12,2,6,8,1,,1,0
