cdf,length
0.0277777777778,4.0
0.0740740740741,5.0
0.0833333333333,6.0
0.0925925925926,8.0
0.12037037037,10.0
0.12962962963,13.0
0.138888888889,20.0
0.157407407407,23.0
0.166666666667,25.0
0.314814814815,30.0
0.333333333333,35.0
0.444444444444,40.0
0.509259259259,45.0
0.518518518519,50.0
0.537037037037,55.0
0.685185185185,60.0
0.75,68.0
0.787037037037,70.0
0.796296296296,80.0
0.888888888889,90.0
0.916666666667,113.0
0.962962962963,135.0
0.972222222222,225.0
0.981481481481,270.0
0.990740740741,338.0
1.0,540.0
